#      Train        Test
     0.81431     0.854167 
    0.783646        0.875 
    0.797274     0.868056 
     0.81431     0.854167 
    0.819421        0.875 
    0.831346        0.875 
    0.821124     0.895833 
    0.800681     0.847222 
    0.833049     0.888889 
    0.816014     0.861111 
    0.810903     0.861111 
    0.817717     0.888889 
    0.846678        0.875 
    0.844974     0.840278 
    0.831346     0.854167 
    0.843271     0.847222 
    0.810903     0.854167 
    0.843271     0.868056 
    0.829642     0.868056 
    0.826235     0.868056 
    0.831346     0.861111 
    0.802385     0.868056 
    0.846678     0.826389 
    0.795571     0.868056 
    0.797274     0.840278 
    0.822828        0.875 
    0.836457     0.881944 
    0.792164        0.875 
    0.824532     0.833333 
    0.822828        0.875 
    0.804089     0.881944 
     0.83816       0.8125 
    0.797274     0.868056 
    0.826235     0.888889 
     0.81431     0.826389 
    0.819421     0.881944 
    0.810903     0.861111 
     0.83816     0.861111 
    0.822828        0.875 
    0.809199     0.847222 
    0.831346     0.798611 
    0.809199     0.868056 
    0.807496     0.861111 
    0.831346        0.875 
    0.816014     0.861111 
    0.839864     0.833333 
    0.824532        0.875 
    0.833049        0.875 
    0.812606     0.840278 
    0.824532     0.895833 
    0.810903     0.826389 
    0.802385     0.819444 
    0.822828     0.854167 
    0.822828     0.854167 
    0.805792     0.868056 
    0.844974     0.902778 
     0.83816     0.868056 
    0.817717        0.875 
    0.824532     0.861111 
    0.821124     0.847222 
    0.816014     0.833333 
    0.834753        0.875 
    0.817717     0.833333 
    0.817717     0.902778 
    0.816014     0.881944 
     0.83816     0.868056 
    0.824532     0.847222 
    0.824532     0.868056 
    0.807496     0.881944 
    0.802385     0.854167 
    0.805792     0.798611 
    0.816014     0.805556 
    0.836457     0.881944 
    0.846678     0.840278 
    0.831346     0.881944 
    0.819421        0.875 
    0.826235     0.895833 
    0.834753     0.847222 
    0.826235     0.881944 
    0.822828     0.868056 
    0.800681     0.888889 
    0.810903     0.868056 
    0.821124     0.888889 
    0.846678        0.875 
    0.824532     0.895833 
    0.831346     0.847222 
    0.809199     0.833333 
    0.833049     0.895833 
    0.812606     0.881944 
    0.817717        0.875 
    0.831346        0.875 
    0.810903     0.888889 
    0.817717     0.909722 
    0.827939     0.847222 
    0.822828        0.875 
    0.824532       0.8125 
    0.817717     0.881944 
    0.802385     0.847222 
    0.839864     0.895833 
    0.824532     0.854167 
    0.827939     0.854167 
    0.817717     0.847222 
    0.824532     0.861111 
    0.804089     0.868056 
    0.834753     0.847222 
    0.826235     0.868056 
    0.831346     0.881944 
    0.821124     0.840278 
    0.834753     0.854167 
    0.819421     0.847222 
    0.844974     0.888889 
    0.809199     0.881944 
    0.821124     0.868056 
    0.807496     0.861111 
    0.833049        0.875 
    0.812606     0.888889 
    0.833049     0.881944 
    0.812606     0.895833 
    0.819421     0.861111 
    0.817717     0.840278 
    0.841567        0.875 
    0.812606     0.861111 
    0.805792     0.868056 
    0.809199     0.868056 
    0.807496     0.895833 
    0.819421     0.868056 
    0.833049     0.881944 
    0.817717     0.888889 
    0.829642     0.895833 
    0.817717     0.854167 
    0.839864     0.826389 
    0.809199     0.881944 
    0.841567     0.819444 
    0.821124     0.868056 
    0.836457     0.888889 
    0.846678     0.902778 
    0.829642     0.881944 
    0.824532        0.875 
    0.810903     0.847222 
    0.822828     0.868056 
    0.853492     0.868056 
    0.810903     0.868056 
    0.833049     0.902778 
    0.834753     0.881944 
    0.844974     0.847222 
     0.81431     0.840278 
    0.816014     0.881944 
    0.824532     0.888889 
    0.816014        0.875 
    0.810903     0.805556 
    0.809199     0.888889 
    0.821124     0.791667 
    0.809199     0.881944 
    0.819421     0.881944 
    0.841567     0.833333 
    0.819421     0.881944 
    0.824532     0.895833 
    0.812606        0.875 
    0.846678     0.798611 
    0.851789     0.881944 
    0.822828     0.861111 
    0.816014     0.888889 
    0.833049        0.875 
    0.804089     0.840278 
     0.81431     0.895833 
    0.833049     0.888889 
    0.797274     0.881944 
    0.809199        0.875 
    0.819421     0.888889 
    0.821124     0.854167 
    0.827939     0.819444 
    0.829642     0.895833 
    0.822828     0.868056 
    0.809199        0.875 
    0.819421     0.881944 
    0.827939     0.854167 
    0.812606     0.861111 
    0.795571       0.8125 
    0.834753     0.881944 
     0.79046     0.895833 
    0.812606     0.888889 
    0.829642     0.895833 
    0.817717     0.895833 
    0.821124     0.881944 
    0.817717     0.895833 
    0.834753       0.8125 
    0.824532     0.840278 
    0.821124     0.868056 
    0.848382     0.902778 
    0.821124     0.881944 
    0.843271       0.8125 
    0.821124     0.868056 
    0.824532     0.888889 
    0.817717     0.881944 
    0.829642     0.868056 
    0.816014     0.895833 
    0.831346     0.826389 
    0.831346     0.881944 
    0.816014     0.840278 
    0.805792     0.826389 
    0.836457       0.8125 
    0.824532     0.861111 
    0.819421     0.868056 
    0.851789     0.826389 
    0.843271     0.861111 
    0.844974     0.847222 
    0.831346     0.895833 
    0.821124     0.833333 
    0.831346     0.854167 
     0.83816     0.909722 
    0.826235     0.888889 
    0.817717     0.881944 
    0.826235     0.881944 
     0.83816     0.888889 
    0.827939     0.840278 
    0.831346     0.861111 
    0.829642     0.840278 
    0.826235        0.875 
    0.833049     0.881944 
    0.827939     0.888889 
    0.827939     0.881944 
    0.826235     0.826389 
    0.809199     0.881944 
    0.821124     0.888889 
    0.827939     0.888889 
    0.829642     0.902778 
    0.812606        0.875 
    0.829642        0.875 
    0.839864     0.881944 
    0.809199     0.861111 
    0.812606     0.881944 
    0.850085     0.861111 
    0.824532     0.909722 
    0.841567     0.902778 
    0.816014     0.895833 
    0.848382     0.895833 
    0.831346     0.854167 
    0.819421     0.868056 
    0.843271     0.881944 
    0.841567     0.909722 
    0.831346     0.881944 
     0.81431     0.861111 
    0.809199     0.861111 
     0.81431     0.895833 
     0.81431     0.861111 
    0.829642     0.895833 
    0.833049     0.868056 
    0.856899     0.847222 
    0.839864     0.854167 
    0.824532     0.868056 
    0.836457     0.888889 
    0.843271     0.895833 
    0.831346     0.847222 
    0.805792     0.881944 
    0.839864     0.888889 
    0.836457        0.875 
    0.829642     0.895833 
    0.816014     0.902778 
    0.846678     0.895833 
    0.824532        0.875 
    0.816014     0.881944 
    0.822828     0.902778 
    0.824532     0.868056 
    0.829642        0.875 
    0.841567     0.847222 
    0.848382     0.895833 
    0.844974     0.902778 
    0.793867     0.902778 
    0.827939     0.902778 
    0.844974     0.888889 
    0.844974        0.875 
    0.817717     0.895833 
    0.826235     0.868056 
    0.839864     0.895833 
    0.846678     0.916667 
    0.819421     0.888889 
    0.829642     0.888889 
     0.81431        0.875 
    0.848382     0.888889 
    0.821124     0.888889 
    0.853492     0.888889 
    0.865417     0.881944 
    0.827939     0.895833 
    0.853492     0.902778 
    0.804089     0.854167 
    0.802385     0.881944 
    0.846678     0.881944 
    0.836457     0.902778 
    0.839864     0.902778 
    0.831346     0.888889 
    0.797274     0.868056 
    0.846678     0.868056 
    0.824532     0.895833 
    0.836457        0.875 
    0.856899        0.875 
    0.831346     0.895833 
    0.816014     0.895833 
    0.827939     0.895833 
    0.848382     0.868056 
    0.812606     0.888889 
    0.817717     0.854167 
    0.831346     0.868056 
    0.850085     0.826389 
    0.831346     0.868056 
    0.831346        0.875 
    0.824532        0.875 
    0.805792     0.895833 
    0.822828     0.888889 
    0.821124     0.902778 
    0.841567        0.875 
    0.855196     0.888889 
    0.807496        0.875 
    0.822828     0.888889 
    0.836457     0.881944 
    0.843271     0.881944 
    0.817717        0.875 
    0.841567     0.868056 
    0.821124     0.881944 
    0.795571     0.833333 
    0.841567     0.840278 
    0.841567     0.881944 
    0.853492     0.895833 
    0.831346     0.895833 
    0.829642     0.881944 
    0.836457     0.770833 
    0.798978     0.861111 
    0.844974     0.847222 
    0.843271        0.875 
     0.81431     0.868056 
    0.804089     0.881944 
     0.83816     0.895833 
    0.826235        0.875 
    0.833049     0.868056 
     0.83816     0.881944 
    0.848382     0.888889 
    0.836457     0.881944 
    0.819421     0.902778 
    0.822828     0.881944 
    0.843271     0.888889 
    0.844974     0.888889 
    0.819421     0.888889 
    0.833049     0.881944 
    0.836457     0.888889 
     0.81431        0.875 
    0.841567        0.875 
    0.848382     0.868056 
    0.836457     0.826389 
     0.83816     0.902778 
    0.863714        0.875 
    0.865417        0.875 
    0.817717     0.881944 
    0.834753     0.847222 
    0.821124     0.895833 
    0.843271     0.909722 
    0.833049     0.888889 
