#      Train        Test
     3.84589      2.89174 
      4.3205      2.68172 
     4.09857      3.06258 
     3.91866      3.08255 
     4.21424      3.75455 
     3.99817      4.10966 
     3.97644      3.13795 
     4.08145      3.51824 
     4.07191      3.19993 
     3.93132      3.32678 
     4.19713      3.68114 
     4.30315      4.04212 
     4.45255      4.14536 
      3.9272      3.56016 
     4.52542      2.91741 
     4.19955      3.15097 
     3.84457      3.21794 
     4.04308      3.36586 
     4.05487      3.31445 
     4.20508      3.50486 
     4.04463        3.978 
     4.08363      3.22337 
      4.0585      3.44517 
     3.99867      2.81471 
     4.01845      3.85914 
     3.91582      4.68097 
      3.9692      3.00326 
     4.04869       3.2272 
     4.07944      3.09134 
     4.08563      3.60085 
      4.1928      2.85091 
     3.94302      3.88455 
     4.08992      3.55267 
     4.13456      3.70755 
     4.12931      4.04917 
     3.89754       4.5005 
     4.02619       3.2328 
     3.92731      3.03728 
     3.92155      3.63873 
     3.81911      3.08912 
     3.63899      3.03255 
      3.9748      3.16412 
     4.00496       4.1213 
      3.8469      3.25032 
     3.70187      3.03466 
     3.86317       3.1916 
      3.9036      3.08089 
     3.89955      2.80659 
     3.78332      2.83795 
     3.95248       3.7632 
      3.9182      3.16397 
     3.79237      4.08128 
     3.79181      3.34259 
     3.90263      3.34673 
     3.97467      2.89506 
      4.0207      3.33975 
     3.86978      3.51899 
     3.97869      2.85805 
     3.81465      3.10833 
     3.82165      3.20313 
     3.79672      3.11613 
     3.98637      3.27894 
     3.97062      3.14048 
     3.82311       3.1564 
     4.00435      3.45162 
     4.10664      3.24198 
     3.61814      3.26479 
     3.93061      2.92108 
      3.6775      2.99556 
     4.00381      2.88198 
      3.6538      2.97778 
     3.98009      3.58735 
     4.16247       3.3139 
     3.75386      2.95163 
     3.66443      3.21161 
     3.81557      3.24207 
      4.0391      3.62696 
      4.0333      3.45141 
     4.12777       2.9442 
     3.99345       3.3676 
     3.85294      3.02094 
     3.82694      3.27681 
     3.67808      3.82699 
     3.91334       3.3774 
     3.82622      3.74456 
     3.78025      3.24853 
     3.66415      3.35925 
     3.73543      3.68261 
     4.03647      3.21166 
     3.72104      3.14301 
     3.86086      2.91404 
     3.71275      3.40606 
     4.03859      2.77316 
     3.74633      2.89524 
     3.79781      3.45978 
     3.93728      3.63773 
     3.90503       3.5273 
     3.96605      3.09478 
     3.86952      3.26868 
     3.79413      3.69624 
     3.70151      3.48115 
     3.89461      3.13463 
     4.19134      3.35819 
     3.83262      3.45803 
     3.68838      3.06816 
     3.57386      3.50168 
     3.82738       3.3322 
      3.8508      2.85605 
      3.7612      3.35165 
     3.75741      2.88381 
     3.90288       2.9776 
      3.8353      3.00078 
      4.0903      3.48718 
     3.58016       3.0404 
     3.90168      3.55333 
     3.69454      2.78281 
      3.5114      3.06272 
     3.90524      2.86239 
     3.70169      3.01382 
     4.20974      3.11773 
     4.09723      3.34273 
     3.75944      2.87119 
      3.9579      3.03029 
